search_id	feature_set	max_depth	min_samples_leaf	criterion	class_weights	exact_match	TP	FP	FN	TN	final_n	overlap_n	false_negative_n	false_positive_n	false_negatives	false_positives	tree_depth	number_of_leaves	number_of_conditions	number_of_clauses	positive_path_conditions	unique_features_used
TREE137	WITH_P_FDR	6	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE141	WITH_P_FDR	6	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE149	WITH_P_FDR	7	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE153	WITH_P_FDR	7	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE161	WITH_P_FDR	8	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE165	WITH_P_FDR	8	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE173	WITH_P_FDR	9	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE177	WITH_P_FDR	9	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE185	WITH_P_FDR	10	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE189	WITH_P_FDR	10	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE127	WITH_P_FDR	5	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE131	WITH_P_FDR	5	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE139	WITH_P_FDR	6	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE143	WITH_P_FDR	6	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE151	WITH_P_FDR	7	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE155	WITH_P_FDR	7	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE163	WITH_P_FDR	8	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE167	WITH_P_FDR	8	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE175	WITH_P_FDR	9	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE179	WITH_P_FDR	9	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE187	WITH_P_FDR	10	2	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE191	WITH_P_FDR	10	3	entropy	none	FALSE	30	2	2	81	32	30	2	2	COL1A1;MMP13	ADAMTS3;LAMC3	5	9	8	4	16	7
TREE130	WITH_P_FDR	5	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE142	WITH_P_FDR	6	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE154	WITH_P_FDR	7	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE166	WITH_P_FDR	8	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE178	WITH_P_FDR	9	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE190	WITH_P_FDR	10	3	gini	balanced	FALSE	30	9	2	74	39	30	2	9	LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;FOXC2;GREM1;ITGB3;MMP3;TLL2;TNXB	5	9	8	4	14	7
TREE109	WITH_P_FDR	4	1	gini	none	FALSE	31	3	1	80	34	31	1	3	COL5A3	ADAMTS3;DDR2;ITGB3	4	10	9	5	17	8
TREE111	WITH_P_FDR	4	1	entropy	none	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;DDR2;ITGB3;TLL2	4	10	9	5	18	8
TREE126	WITH_P_FDR	5	2	gini	balanced	FALSE	32	9	0	74	41	32	0	9		ADAMTS3;COL13A1;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TLL2;TNXB	5	10	9	5	19	8
TREE138	WITH_P_FDR	6	2	gini	balanced	FALSE	32	9	0	74	41	32	0	9		ADAMTS3;COL13A1;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TLL2;TNXB	5	10	9	5	19	8
TREE152	WITH_P_FDR	7	2	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;LAMC2;LAMC3;TLL2	7	12	11	6	30	8
TREE164	WITH_P_FDR	8	2	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;LAMC2;LAMC3;TLL2	7	12	11	6	30	8
TREE176	WITH_P_FDR	9	2	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;LAMC2;LAMC3;TLL2	7	12	11	6	30	8
TREE188	WITH_P_FDR	10	2	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;LAMC2;LAMC3;TLL2	7	12	11	6	30	8
TREE122	WITH_P_FDR	5	1	gini	balanced	FALSE	32	4	0	79	36	32	0	4		COL13A1;ITGB3;LAMB4;TLL2	5	12	11	5	21	9
TREE134	WITH_P_FDR	6	1	gini	balanced	FALSE	32	3	0	80	35	32	0	3		ITGB3;LAMB4;TLL2	6	13	12	5	22	9
TREE146	WITH_P_FDR	7	1	gini	balanced	FALSE	32	3	0	80	35	32	0	3		ITGB3;LAMB4;TLL2	6	13	12	5	22	9
TREE148	WITH_P_FDR	7	1	entropy	balanced	FALSE	32	1	0	82	33	32	0	1		TLL2	7	13	12	6	31	9
TREE150	WITH_P_FDR	7	2	gini	balanced	FALSE	32	7	0	76	39	32	0	7		ADAMTS3;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TNXB	7	13	12	7	33	10
TREE162	WITH_P_FDR	8	2	gini	balanced	FALSE	32	7	0	76	39	32	0	7		ADAMTS3;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TNXB	7	13	12	7	33	10
TREE174	WITH_P_FDR	9	2	gini	balanced	FALSE	32	7	0	76	39	32	0	7		ADAMTS3;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TNXB	7	13	12	7	33	10
TREE186	WITH_P_FDR	10	2	gini	balanced	FALSE	32	7	0	76	39	32	0	7		ADAMTS3;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TNXB	7	13	12	7	33	10
TREE158	WITH_P_FDR	8	1	gini	balanced	FALSE	32	1	0	82	33	32	0	1		ITGB3	8	15	14	6	31	10
TREE121	WITH_P_FDR	5	1	gini	none	FALSE	32	1	0	82	33	32	0	1		DDR2	5	14	13	6	24	12
TREE133	WITH_P_FDR	6	1	gini	none	FALSE	32	1	0	82	33	32	0	1		DDR2	5	14	13	6	24	12
